exp_id,init,track,role,label_frac,seed,precision,detector_sha256,git_sha,dev_f1,dev_threshold,test_f1,epochs_run,train_scene_count,train_vessel_count,train_dark_vessel_count,train_near_shore_vessel_count,monotonicity_ok
vitrand-f10-s0,vit_random,vit,floor,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8030447193149381,0.822265625,0.7041609510745314,40,12,790,0,4,True
vitrand-f25-s0,vit_random,vit,floor,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8562933597621408,0.89013671875,0.7371980676328502,50,28,1685,0,8,True
vitrand-f50-s0,vit_random,vit,floor,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.89120151371807,0.85302734375,0.8100825727944372,50,56,3792,0,15,True
vitrand-f100-s0,vit_random,vit,floor,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8957528957528957,0.77783203125,0.8100810081008102,35,111,7678,0,27,True
satdino-f10-s0,satdino_b,vit,optical,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8901960784313724,0.8876953125,0.8197725284339457,50,12,790,0,4,True
satdino-f25-s0,satdino_b,vit,optical,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8802281368821293,0.91015625,0.8279430789133247,45,28,1685,0,8,True
satdino-f50-s0,satdino_b,vit,optical,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9136276391554703,0.90185546875,0.8494623655913978,50,56,3792,0,15,True
satdino-f100-s0,satdino_b,vit,optical,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.926829268292683,0.859375,0.8464929859719439,50,111,7678,0,27,True
sarmae-f10-s0,sarmae_b,vit,sar,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8856589147286822,0.5869140625,0.8041060735671514,25,12,790,0,4,False
sarmae-f25-s0,sarmae_b,vit,sar,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8623676612127047,0.767578125,0.7715105162523902,25,28,1685,0,8,False
