epoch,lr-AdamW/pg1,lr-AdamW/pg10,lr-AdamW/pg11,lr-AdamW/pg12,lr-AdamW/pg13,lr-AdamW/pg14,lr-AdamW/pg15,lr-AdamW/pg16,lr-AdamW/pg17,lr-AdamW/pg18,lr-AdamW/pg19,lr-AdamW/pg2,lr-AdamW/pg20,lr-AdamW/pg21,lr-AdamW/pg22,lr-AdamW/pg23,lr-AdamW/pg24,lr-AdamW/pg25,lr-AdamW/pg26,lr-AdamW/pg27,lr-AdamW/pg28,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,lr-AdamW/pg7,lr-AdamW/pg8,lr-AdamW/pg9,step,train_loss,val_loss
,1.1376018126211432e-07,6.372896257812503e-07,9.804455781250004e-07,9.804455781250004e-07,1.5083778125000004e-06,1.5083778125000004e-06,2.3205812500000007e-06,2.3205812500000007e-06,3.570125000000001e-06,3.570125000000001e-06,5.492500000000001e-06,1.1376018126211432e-07,5.492500000000001e-06,8.45e-06,8.45e-06,1.3000000000000003e-05,1.3000000000000003e-05,2e-05,2e-05,2e-05,2e-05,1.7501566348017586e-07,1.7501566348017586e-07,2.6925486689257825e-07,2.6925486689257825e-07,4.142382567578127e-07,4.142382567578127e-07,6.372896257812503e-07,0,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,791.4716796875,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17.169540405273438,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.778445839881897,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.051776740700006485,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.003304007463157177,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.0010941000655293465,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0.0007674229564145207,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0.0006761013064533472,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0.0005988635821267962,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,0.0005735553568229079,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,0.0005167782073840499,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0.0004972071037627757,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,0.00046653510071337223,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,0.0004497534246183932,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,0.0004126675194129348,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,0.0003954193089157343,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,0.0003936504654120654,
