dev_f1,dev_f1_vs_floor,exp_id,init,label_frac,role,seed,test_dark_recall,test_dark_recall_vs_floor,test_f1,test_f1_vs_floor,test_near_shore_f1,test_near_shore_f1_vs_floor,track
0.7530224525043178,0.0,cnnrand-f10-s0,cnn_random,0.1,floor,0,,,0.6558585114222549,0.0,0.0,0.0,cnn
0.8965517241379309,0.14352927163361318,cnnin1k-f10-s0,cnn_imagenet,0.1,imagenet,0,,,0.8208290510448785,0.16497053962262354,0.0,0.0,cnn
0.06281678437889471,,cnnin1k-f10-s0__vs__beS1-f10-s0,,0.1,imagenet_minus_sar,0,,,0.5161581380937108,,0.0,,cnn
0.7677806341045416,0.014758181600223796,beS2-f10-s0,bigearthnet_s2,0.1,optical,0,,,0.6674528301886793,0.01159431876642436,0.0,0.0,cnn
0.8337349397590362,0.08071248725471847,beS1-f10-s0,bigearthnet_s1,0.1,sar,0,,,0.3046709129511677,-0.3511875984710872,0.0,0.0,cnn
0.06595430565449467,,beS1-f10-s0__vs__beS2-f10-s0,,0.1,sar_minus_optical,0,,,-0.3627819172375116,,0.0,,cnn
0.8554125662376987,0.0,vitrand-f10-s0,vit_random,0.1,floor,0,,,0.7880597014925373,0.0,0.0,0.0,vit
0.8939512961508249,0.038538729913126235,vitin1k-f10-s0,vit_imagenet,0.1,imagenet,0,,,0.8073008073008072,0.019241105808269876,0.0,0.0,vit
0.013642415841944588,,vitin1k-f10-s0__vs__sarmae-f10-s0,,0.1,imagenet_minus_sar,0,,,-0.008118990151005923,,0.0,,vit
0.8766233766233766,0.02121081038567796,satdino-f10-s0,satdino_b,0.1,optical,0,,,0.8157628831256314,0.027703181633094043,0.12903225806451613,0.12903225806451613,vit
0.8803088803088803,0.024896314071181647,sarmae-f10-s0,sarmae_b,0.1,sar,0,,,0.8154197974518131,0.0273600959592758,0.0,0.0,vit
0.0036855036855036882,,sarmae-f10-s0__vs__satdino-f10-s0,,0.1,sar_minus_optical,0,,,-0.0003430856738182442,,-0.12903225806451613,,vit
